Theta   Phi   Ki
46.00   221.00   -0.0143378000
46.00   224.00   -0.0287317000
46.00   227.00   -0.0337102000
46.00   230.00   -0.0399625000
46.00   233.00   -0.0476706000
46.00   236.00   -0.0398633000
46.00   239.00   -0.0371467000
46.00   242.00   -0.0379287000
46.00   245.00   -0.0546383000
46.00   248.00   -0.0577274000
46.00   251.00   -0.0452040000
46.00   254.00   -0.0430738000
46.00   257.00   -0.0351733000
46.00   260.00   -0.0105323000
46.00   263.00   0.0421958000
46.00   266.00   0.0802572000
46.00   269.00   0.0908687000
46.00   272.00   0.1002450000
46.00   275.00   0.0743204000
46.00   278.00   0.0345417000
46.00   281.00   0.0003172630
46.00   284.00   -0.0121671000
49.00   47.00   0.0105111000
49.00   50.00   -0.0016736600
49.00   53.00   -0.0164984000
49.00   56.00   -0.0036327700
49.00   59.00   0.0195805000
49.00   62.00   0.0301492000
49.00   65.00   -0.0135155000
49.00   68.00   -0.0476414000
49.00   71.00   -0.0510733000
49.00   74.00   -0.0435792000
49.00   77.00   -0.0390842000
49.00   80.00   -0.0058006300
49.00   83.00   0.0305757000
49.00   86.00   0.0779486000
49.00   89.00   0.0947255000
49.00   92.00   0.1018030000
